N,biot_coefficient,storativity,young_modulus,init_stress_x,perm_kr,perm_km,perm_beta,perm_gamma
8,0.2044799163830523,2.531998021280649e-08,287508011385.71075,42559473.90823577,4.8652990431635466e-23,1.264858421958141e-18,4.217482149888206e-07,6.88192341121698e-07
90,0.2020760615929041,1.4515733859453474e-08,377914481867.8977,41444088.846980594,3.010710746514363e-23,2.864599030301215e-18,2.573000044493939e-07,3.139329890485248e-07
578,0.1864891146682148,1.599429390048249e-08,234322181011.6189,39983173.32384012,5.460615566168581e-23,2.6312581029639462e-18,6.032252636412201e-07,4.987517837640253e-07
31,0.1885438917993244,2.280679969901536e-08,94584145884.54556,32090194.96496157,1.8518686273728095e-22,1.4125363430331728e-18,2.536513980150581e-07,1.043663625990132e-06
329,0.1785066748033083,1.3327197355826384e-08,159855476262.64447,25517070.826115876,7.090736433505112e-23,2.802685707249412e-18,7.642968560018757e-07,8.818144618479408e-07
100,0.1879464337613007,2.27364531195635e-08,95908232229.05756,27620709.37057165,1.0072066550154696e-22,1.6261963426883386e-17,6.097506989526839e-07,2.708596436729218e-06
87,0.18086602323411,2.0228131504995312e-08,53676841993.21035,22090835.51039983,1.3790014652828855e-22,9.636264522267708e-18,7.645220301546734e-07,1.8451881384342436e-06
143,0.1883275277068418,8.970898027196332e-08,56189924072.1388,46745323.9291823,2.880062210223037e-22,5.195535794234065e-18,8.226171786588167e-07,2.4209674925725494e-06
30,0.2036501049498153,1.001181303030627e-07,52559257648.20657,54393414.53235751,1.6481552755687162e-22,1.1956881491515208e-18,8.629216207796221e-07,2.2608130324024667e-06
301,0.2028013678915436,3.221967463859304e-07,13732881981.5168,36446956.63844523,1.7487269616969754e-21,4.939559876477754e-19,1.046270982494679e-06,1.3494671825636728e-06
5,0.1971823389882837,1.268305746903398e-07,20181217163.81137,31211497.730724014,8.910800638810076e-22,4.742373717861818e-19,3.785835084028654e-07,4.359939263779017e-06
8,0.2092386974120345,8.724498342701975e-08,17318508481.5221,20175681.00825615,4.672188603992791e-22,1.4222762869693956e-18,3.652029661876996e-07,1.5292719711244795e-06
17,0.2000758294363197,3.1732384542373155e-08,33184967021.692333,21365318.21892094,1.5097941851682742e-22,2.3717810423603723e-18,3.161145952154974e-07,6.544087393633373e-07
407,0.2026107119889326,1.6897429948821396e-08,51094928289.67822,21879727.140777465,3.71130359693848e-22,3.2298781104675163e-18,5.44009375100175e-07,9.904366490616625e-07
1,0.2130548112748287,1.0494868434697184e-08,19340991049.266678,18035625.108147748,2.1361348055740586e-22,6.3653753770817865e-18,6.764772257809892e-07,1.7198588450466763e-06
237,0.1994601033876153,4.348889929758141e-08,26222586748.44872,21112113.58275516,4.250204147675537e-22,3.68546397258981e-18,7.314620723784825e-07,1.617020863990194e-06
207,0.1950486151195773,6.254060994235592e-08,25364261818.530888,24455633.948209506,6.855127314793331e-22,6.123301350225764e-18,8.041963826012276e-07,9.231215671677272e-07
19,0.1926061486246718,2.3978218583758925e-07,15637838766.147442,48746979.60444056,1.0030744996057088e-21,1.7457095783958394e-17,2.4006453688326014e-06,1.2992704115605627e-06
152,0.2049451716452174,1.8286176613023765e-07,20532174428.842125,36512512.47878919,1.040953088508227e-21,2.412551588554818e-17,1.8144543597521124e-06,1.146009037539386e-06
128,0.2003916087183101,1.076083924132383e-07,26393798156.78759,32262798.601094395,7.5791946137481e-22,4.4848374296939416e-17,7.062903583493305e-07,1.3457400607476393e-06
19,0.1959374973382789,9.14578209054858e-08,41649659316.04963,30589908.066912387,5.605582681016356e-22,2.497614744775868e-17,8.441984466343794e-07,3.520464880054569e-06
10,0.191652009042749,1.6198210842189604e-07,8939619146.955816,22042722.536330946,8.365070784372778e-22,7.84816590670398e-17,3.431147962153077e-07,1.933979126811804e-06
26,0.1852169571898738,2.1976924765915546e-07,9957033376.336298,34580188.832965754,2.1081378473928986e-21,4.700925248304936e-17,8.390385078108426e-07,8.653801418967261e-07
905,0.1767536592084333,8.421642669542752e-08,23000770383.15862,24931840.9949796,5.596050422619627e-22,1.4570540253015871e-16,5.11074738968758e-07,2.317119195098439e-06
3,0.1729846761871522,9.866060471148952e-08,21245336172.098454,31108760.357758373,6.934338562809349e-22,3.2524880038571304e-17,7.829536395697239e-07,1.243471665239936e-06
228,0.1744667432024189,1.679305253912672e-07,17317415396.51244,32548295.363762494,1.2152608795111665e-21,3.9446689119890756e-17,9.856723663012344e-07,1.4715781421270242e-06
27,0.1811807758464321,1.492440363160347e-07,10591505668.763924,29604050.90825354,1.8453432367976374e-21,8.145993576489134e-18,8.069332563829836e-07,1.7335649875462928e-06
51,0.1911351055762201,1.9257063135056626e-07,15059522041.566446,44726909.99321231,1.401890728904757e-21,2.7977101771672803e-17,5.178277108813053e-07,2.576177154221383e-06
28,0.1988177212358526,3.347658827317134e-07,8328634563.588906,23560998.216093782,1.653134834040847e-21,3.923145623464174e-18,3.526234089584284e-07,1.1255522209753787e-06
50,0.1905030008706189,6.763382303618186e-08,35561701335.73347,30088111.23293548,9.371638327699209e-22,1.6084863269092433e-18,5.154070955074645e-07,5.176301573058814e-07
37,0.1973201314039824,9.968522555837087e-08,22700171783.060112,24718153.362722103,9.503316771981285e-22,3.220275125207793e-18,1.0452898788261645e-06,2.5655526640575885e-07
2,0.2116332016097666,1.5390146347038056e-07,19699397739.330185,36360784.015076,1.6882345018690256e-21,4.368274956752328e-18,7.574468980126638e-07,2.2194066495834521e-07
35,0.2219351791072875,1.137149013116649e-07,34810677746.513626,43622318.00038295,5.076540227600311e-22,5.7009276481774106e-18,5.324999199067488e-07,4.924806912591945e-07
113,0.2019498498229666,1.9745130276935907e-07,24742383084.22212,44975760.81587223,7.080717612635616e-23,7.695860723807591e-19,1.6465766927682906e-07,5.693367485585518e-07
59,0.2006297004807569,2.2612601860611095e-07,15977040619.063158,25521876.35587809,1.8818612277116357e-22,6.879779068571078e-19,1.807739382350337e-07,9.029145897979878e-07
46,0.1874267062505796,4.1421188200411436e-07,9768486728.587576,34467943.45090467,8.487177643139108e-23,8.14742091215521e-19,1.422210397211091e-07,8.553861363943598e-07
89,0.1853586647983803,2.421301378394202e-07,11152470811.559565,34283929.30746993,5.965903496210281e-23,1.6452901639614978e-19,1.070110216975681e-07,2.1765351942296254e-07
130,0.1793327031009612,1.76695167658034e-07,15611632006.508942,38362259.91370736,5.795434558565145e-23,6.929445705232549e-20,9.210422991021773e-08,1.2459391477857846e-07
582,0.1738384653358486,1.975505916679204e-07,12093940951.94852,32014187.079487376,1.5313502154750875e-22,2.6187831829277248e-20,7.652199232718552e-08,1.328857845993193e-07
242,0.1771230737967115,2.103243760297484e-07,19535267990.90755,45348095.27515298,9.249137329701674e-22,5.637012704285841e-20,1.892391495191867e-07,1.5279749301519596e-07
333,0.1843138961911704,3.979986216614808e-07,6715535402.8748045,38526262.09736939,9.767312603160772e-23,1.6205041913737696e-19,9.63861412120398e-08,2.418745205055146e-07
28,0.1961534571704003,4.7472216299647366e-07,5801428636.045264,32715360.09983414,1.2704204848391754e-21,1.8400397450322829e-19,1.2686309796797506e-07,3.0849963892491106e-07
197,0.2088772257087242,5.181353743099811e-07,10107193687.787054,44521745.07578894,1.5063935627853934e-21,1.339360555860831e-19,1.3000429181645037e-07,3.157903566385336e-07
132,0.2012290553883622,4.393550315177107e-07,6764658977.245115,36655429.43430072,2.7164524246640832e-21,1.5090841898344025e-19,1.8940116819205066e-07,1.2925102593186474e-06
265,0.2039556075648583,5.745984076925116e-07,8322656475.078161,38517570.26985351,2.195773779540168e-21,6.0249741673185215e-18,2.9969503421666764e-07,1.2566364923289548e-06
44,0.1919661915504672,6.896678058559319e-07,3867123340.491131,37726991.14328767,1.0827519536479301e-21,5.3516318563615614e-17,2.223427661467796e-07,8.625188375726561e-07
199,0.1954023046625055,3.2787458082789845e-07,11357458261.377798,39342361.02387908,1.3677228732283457e-21,1.2943158374107663e-16,5.686803854767215e-07,7.25272102695617e-07
48,0.1864179147360361,1.1016233664597377e-07,6040339690.628869,21395778.58626368,2.158951004224732e-21,2.492984955732605e-16,9.591741198086364e-07,1.405246073192106e-06
34,0.1941415294623926,2.345240292735198e-07,11288741216.802052,36519864.48763931,2.1661247309776317e-21,1.1645822213472215e-16,1.3569908604651746e-06,5.226731273296064e-06
36,0.2007476765177549,4.451948994938186e-07,8575830003.674955,55331910.34316327,4.823294069339006e-22,2.5863366428852995e-17,3.771280054214667e-07,6.918691442067468e-06
82,0.1874605588690153,1.2377437195566596e-07,15580022870.67122,28830651.98522512,7.588849635238207e-22,2.219534103901593e-17,2.633807683408039e-07,7.349841268454733e-06
46,0.1815352966976508,9.929964125436925e-08,22828949965.257786,31114964.280155435,6.755135992121615e-22,1.92345065461404e-17,1.6526270504155615e-06,3.3942418701123586e-06
238,0.1763294898167736,8.598368797239217e-08,24314182469.186905,25904478.60453703,5.159249021399329e-22,6.572119131418095e-17,2.2591332774611103e-06,1.3778536443286703e-06
20,0.1993886108793812,8.675920228183292e-08,38041950594.43671,27869241.82160658,7.590468611806291e-22,1.154032959302475e-17,7.085175682987277e-07,7.393381482762005e-07
3,0.1946492711819659,5.8523367099468226e-08,30040081899.796448,24964057.165784057,3.737059143144357e-22,1.1727274401965989e-17,3.623037619129477e-07,2.1136185787603428e-06
69,0.1911599737698561,1.236161154808874e-07,24863000812.074028,34776957.7595982,7.813479587178061e-22,3.252337544220664e-18,7.011222033083692e-07,2.387604898527336e-06
195,0.1924357790181904,1.1873907066931947e-07,29096969554.187096,41219108.8702099,7.967654847076426e-22,2.8644399614749073e-18,2.800809717113707e-07,2.082907478106637e-06
17,0.1988951315334014,3.0730297351116013e-07,20856029785.44873,42387061.18719202,1.0209666049164949e-21,4.6557549145438136e-18,4.625395663043556e-07,8.122493723730449e-07
17,0.2012019428435968,9.88087982876884e-08,41522602464.41997,38335070.7108448,8.485699251881016e-22,2.783773458071116e-18,3.577432921433765e-07,7.194864630904449e-07
199,0.1741822410130616,3.273935653232771e-08,9640022092.07498,19704112.916181948,4.947552248608349e-22,7.533884785297561e-17,3.859015224955125e-07,1.1567726654476933e-05
58,0.1662265279329527,1.0709298837023422e-07,20932449074.16018,29691495.78150224,8.813050515725594e-22,7.210745710601724e-17,8.99335057899647e-07,5.753818292899669e-06
7,0.193353811328182,9.204821956015143e-08,20299004606.168865,30011213.82152341,6.214530890646799e-22,1.909056502727265e-17,6.320640762905058e-07,3.644985247044168e-06
