N,biot_coefficient,storativity,young_modulus,init_stress_x,perm_kr,perm_km,perm_beta,perm_gamma
30,0.2008085943038116,1.9997375804868485e-08,173948440340.59076,48167537.14320845,4.0605307853089455e-24,2.884534724087053e-17,3.162567515645394e-06,3.6616736663159073e-06
28,0.203655817224142,1.9635145257712256e-08,180261026460.50952,50240840.29657587,3.7491690593298574e-24,6.376197289363331e-17,1.471804042669512e-06,2.090329801993648e-06
13,0.2129549438380881,1.7870596394643862e-08,132421569532.88492,40412125.79440997,2.007633214124173e-24,1.8837632207769546e-17,2.039866877875336e-06,1.965728517730102e-06
11,0.2173273448077384,2.287098160335702e-08,173556491596.11523,58204613.80640744,1.19920955119159e-24,1.2502069007466979e-17,1.8564207186902568e-06,1.3762465028547934e-06
6,0.2208996826231846,1.805839686005596e-08,267070091584.9538,57555313.48472393,1.1969866691573475e-24,6.469963879106516e-18,1.2443384223705449e-06,1.7128508735670982e-06
13,0.2112417524574073,2.0681112175779306e-08,131233975598.72948,41761197.78566153,2.1793128985653702e-24,7.894663021109766e-18,8.856948983539161e-07,1.7026110565651015e-06
5,0.2126751047717688,2.7677136384549852e-08,106161064957.01352,47045291.98634923,4.865931520202993e-25,5.7393710971074015e-18,5.187447218418077e-07,2.4652174775146813e-06
8,0.2154872070697342,3.1280127280817055e-08,157394442694.65433,64941031.85754929,4.065537541695232e-25,9.633153179863684e-18,1.100702838214374e-06,6.189123854081032e-06
250,0.2257207145788829,4.338475260017903e-08,159965222497.22223,66491693.04328345,3.9504036231231545e-25,1.223562797608608e-17,9.89263307712928e-07,4.0437828718792926e-06
84,0.2239193204165863,2.295555247965077e-08,164601710922.24445,42265446.4665978,3.8771399008710986e-25,1.5357236812622124e-17,5.090282543635866e-07,2.1038599926761487e-06
12,0.2338420961749622,2.695962535847705e-08,152157232961.89825,52656135.03749974,9.466658129716931e-25,1.6127752120148218e-17,5.154083823488946e-07,2.059767059117737e-06
60,0.2403179915908908,2.8258458162273422e-08,139241039464.75763,49658680.73738867,1.6628870625365082e-24,2.276805954363357e-17,8.584712273630968e-07,2.634209606425004e-06
37,0.2461461054340585,1.9111983820772137e-08,178291006832.58496,49249900.29156558,3.731150832667998e-24,1.3713592879704614e-17,1.6517979840184707e-06,3.5615425577457297e-06
8,0.2377937560838451,2.5850233919366856e-08,170165933605.22226,53066604.91655503,6.156515853312937e-24,2.5286673614878522e-17,1.4840676139532378e-06,3.100367937328521e-06
15,0.2452362008212083,2.339655196429512e-08,153509244480.0188,47268813.18262566,4.642515353380944e-24,1.7719281454592482e-17,1.2153654146256447e-06,2.8635301984689008e-06
1,0.2369843136548594,1.7187494239308856e-08,127553235551.40833,33509172.42108109,1.6095465860221377e-23,1.762398798511835e-17,1.1594051547981684e-06,1.3580486252863571e-06
4,0.2382674042943817,1.07987846893306e-08,169450561069.39792,34155282.07336535,2.0307463259944825e-23,5.48741264400469e-17,7.759086519914605e-07,7.659143361411428e-07
10,0.2335868750064123,1.1559457981928529e-08,126880875710.24626,28682059.427397847,1.6035182333925852e-23,4.3398634543062464e-17,4.910470267892828e-07,6.375477902339033e-07
13,0.2223278243504003,1.2534550432277944e-08,191879356700.59717,37488962.23383002,1.1091064034316965e-23,1.60912914210013e-17,5.553721305421924e-07,7.619730443681445e-07
13,0.2184146537482286,1.0503932927713553e-08,113332072622.09972,26742709.86035107,2.8054815717742203e-23,1.457930142895261e-17,4.414819780000106e-07,8.024066347364128e-07
18,0.215549447300181,9.47654317300584e-09,67845385754.582985,22559877.714898743,1.0577013981715885e-23,1.4498936065086266e-17,5.203504173287866e-07,4.873961980086675e-07
15,0.2193147044507555,1.1503822355378314e-08,56261744865.54088,23250100.41432143,9.761127401623275e-24,2.2057766497472963e-17,1.2953971045085834e-06,3.79131422973971e-07
19,0.2168447315007043,1.9572472907132552e-08,49177084691.363205,29747741.44940552,8.291232144528879e-24,2.2632619155336646e-17,1.8507341842591824e-06,8.352470499244211e-07
4,0.2149416611070373,2.1660947473220576e-08,45196368758.8807,29679082.119633213,1.4987209833206978e-23,2.7855566098298296e-17,1.6143042719706115e-06,1.4781705864374518e-06
4,0.2187997620329862,2.5687696574553963e-08,62325602323.29653,35478827.267439865,8.73795684223871e-24,2.7383570877356846e-17,1.0018418603752346e-06,1.2252041059392082e-06
7,0.2100306338584792,2.9299875960669704e-08,87381462082.38896,40733179.03892199,9.175066477384336e-24,3.523576406160577e-17,1.0173323064618526e-06,1.4228379023828733e-06
15,0.2084790796473822,4.4619385889615535e-08,82874568259.79645,45617270.92223583,6.814504971911306e-24,2.933468867474344e-17,1.12060975143648e-06,7.443958965106067e-07
11,0.2083852806465437,7.71555136104388e-08,58724393795.08688,45935133.32463042,1.3092711038659333e-23,2.6205902484214995e-17,7.525867441285254e-07,9.37868428310494e-07
15,0.2078036876601246,6.450338557152783e-08,93160356781.10262,71035295.44147754,1.5922926363829428e-23,3.389385212497706e-17,6.061391418774264e-07,7.160610415585877e-07
11,0.206895658201863,4.9697008493908803e-08,61910291602.46326,45934376.11359997,2.8209074368334175e-23,4.167851797490536e-17,4.006663375513006e-07,1.0397685091767237e-06
46,0.2036002506964844,2.830309175958803e-08,107430506850.38312,48832168.29940916,6.38129721575604e-23,5.459644156078354e-17,3.9264234460078483e-07,9.655887016784189e-07
8,0.2031996494501977,3.8300087997045066e-08,66516536701.63219,45821922.25464746,1.0877449626384194e-22,2.7248083401270425e-17,3.313367210659008e-07,1.4637119372783287e-06
7,0.2075976944196736,9.453960763513385e-08,44138738688.47695,45560120.20088962,1.6574592521938177e-22,4.438136869322788e-17,6.972454665437267e-07,1.0571427460355382e-06
6,0.2041088218374334,1.2453549699122402e-07,33037095115.14653,57185001.87247532,3.6280618841909306e-22,1.009854694560333e-16,6.695397595118277e-07,7.763986815411766e-07
3,0.2040101669847985,1.3828100370391654e-07,33429837909.34968,52062215.84016865,1.4796802881910548e-22,3.2580246549542727e-16,4.825697409631653e-07,3.938263903118105e-07
10,0.2088232213275888,8.589697400228465e-08,41951015309.75716,52288803.48260267,7.400995278841103e-23,1.5320084282141487e-16,6.997021179125499e-07,2.3529552183009266e-07
14,0.2147719163206078,8.710318570754911e-08,32738837341.721226,43854670.77009493,5.0807236623069376e-23,2.71500137591013e-16,6.485537765345857e-07,1.4717073511495426e-07
11,0.2086360088481445,5.874979399737653e-08,53254464262.58128,49449128.49524556,3.7938978108914653e-23,3.0585261535503006e-16,4.065121967830509e-07,1.6604630206746606e-07
23,0.206034558322763,5.645217953122994e-08,49905604577.993576,48268276.82056569,3.749126809437482e-23,5.037605691569308e-16,5.508258509451621e-07,1.2039994848549288e-07
8,0.2103236386400571,8.82151524839853e-08,32182199809.78796,46136987.36654606,6.039672398029156e-23,4.594723741555269e-16,6.076693631592587e-07,1.3174513955236177e-07
2,0.2049226732987957,8.428461458003215e-08,54719933203.55586,63317892.39661557,2.0782797294819275e-22,1.3010482751328513e-15,7.004737635201861e-07,1.1986333985457769e-07
10,0.2018646497461185,4.68454296401982e-08,66472688518.83123,49129444.5025996,2.1100181973684277e-22,8.660204243723477e-16,4.448212176058142e-07,1.2230027491886986e-07
9,0.2061732681488844,4.6588296794029326e-08,36925181890.34046,38402232.72619356,4.327591334887997e-22,8.827037334207539e-16,6.166591371745795e-07,1.7708137386088606e-07
23,0.2124055198067932,2.9766441204789133e-08,38350465749.76475,30964785.96290865,3.426774111896307e-22,6.127404626954765e-16,5.263962886909556e-07,1.915269496817641e-07
13,0.2149677716140169,2.7724423871575548e-08,35915444477.51625,30090284.47592771,4.013457940717631e-22,6.110915624309288e-16,1.279888581086864e-06,1.632757493667917e-07
3,0.2112374739688037,2.5556904537320308e-08,55331160720.565865,31932137.14088569,1.837244431317204e-22,7.945728864279999e-16,1.369201965295155e-06,1.3348829036546494e-07
11,0.2053855279499883,2.334135002767616e-08,64285737565.88967,35384592.40715959,1.6172388966208286e-22,2.776513671502729e-16,9.63998351491692e-07,2.1909632977933775e-07
18,0.2059121973254336,2.3588016821866352e-08,85108696459.03049,38612598.1999553,1.1259198460366341e-22,2.1879952512233198e-16,2.275650317308584e-06,1.1294305726735179e-07
5,0.2107257373022871,2.3056098305322412e-08,75175034752.11615,38887032.02517036,1.124470262574932e-22,2.3276631322552376e-16,1.6753426948709624e-06,8.510908310335556e-08
1,0.2104377383818131,2.4612527499044692e-08,60686698746.99024,32109613.871217903,7.514868096746347e-23,8.109557900640836e-17,1.4954897551398097e-06,5.995611377669382e-08
10,0.2106277864933199,2.7488153350240352e-08,33813027647.99534,25191568.20646552,1.1247418311337273e-22,1.1003904038032642e-16,2.147573937227321e-06,4.095865914001339e-08
2,0.2055277994816808,4.361369344862429e-08,55077774078.49014,38339466.94086291,1.9392781060045836e-22,7.937162760182486e-17,2.454059955189768e-06,3.901629376239016e-08
4,0.2048993733110588,4.7781526910053474e-08,47838186840.682686,27501992.51025898,1.6580826489126478e-22,8.78607791061071e-17,3.2129612413210677e-06,3.4229871740161594e-08
2,0.204662881843224,5.2000051526893465e-08,37210032087.60808,35120377.03467766,2.1958331248563297e-22,1.4153414870096768e-16,3.877994360808456e-06,4.894753042769952e-08
7,0.1967391020903005,5.458418265086616e-08,29300159041.97062,34495822.25295822,2.9572334997572613e-22,1.3564726511861655e-16,5.937820124634674e-06,6.169564919163326e-08
5,0.201659474760859,6.028287013559538e-08,21193546742.620045,31456480.056018364,3.0852134336931167e-22,1.3095740323837591e-16,6.22252678372448e-06,8.461512844391973e-08
9,0.2029464274184631,9.35738353926845e-08,28564600292.89654,36509081.36873814,1.0121969108218732e-22,2.1599340510404362e-16,6.118218956487817e-06,1.5333606663485346e-07
3,0.1987961025033118,6.93087115519655e-08,13667283237.328262,23784395.31178075,2.292876767944084e-22,1.3726625433802658e-16,6.940401108996029e-06,3.404842765059909e-07
2,0.2017088200717798,4.554678097669405e-08,13530944520.413029,24453977.16037397,2.3525296579848475e-22,9.765432683569564e-17,6.6947806689787775e-06,4.889962724369256e-07
27,0.195726837973523,5.3497436369559124e-08,15857472793.832155,29424153.303323414,2.239911919621127e-22,8.848971253105416e-17,4.316357281128509e-06,4.430255655936684e-07
3,0.1918881682355132,6.241350468560986e-08,21261158066.478264,35233911.31552333,6.2912238358963e-23,1.4280448543262658e-16,1.7170631656551238e-06,1.0270343416840317e-06
5,0.1915136783643277,1.5179719831652326e-07,20673325103.31587,51057096.07319726,6.554742661822098e-23,4.630669406992579e-16,8.418630904363707e-07,1.213420759463038e-06
1,0.1911029393298954,1.562064161856845e-07,11865566004.23859,36787220.983624086,4.5867651105639444e-23,6.855110782117951e-16,1.2086362824972222e-06,1.3556497485848828e-06
4,0.195693311735524,1.3956999350776192e-07,6587766455.784662,28277823.148343347,3.7858696030332746e-23,1.198213456400691e-15,1.2087481394467334e-06,6.559900038415732e-07
31,0.2023937062454919,8.924966605740607e-08,9977704579.40365,29480222.69361705,2.0915307707477917e-23,4.3790749988855255e-16,1.2080830051365898e-06,8.983357226490757e-07
6,0.2080985254501161,7.17975614024852e-08,20547093675.4723,31859229.966223683,1.2334281868956816e-23,1.4200710315663106e-15,9.618529209026864e-07,3.354998352745973e-07
55,0.208678990549697,5.3727692759337744e-08,29951964520.387955,32811344.32140689,2.324925813839433e-23,9.821622529382337e-16,1.649283816393907e-06,2.507817847060134e-07
3,0.2062256758121976,2.4959649908738067e-08,15751641635.172956,23129687.747268558,2.6117045724373546e-23,7.181700351889173e-16,1.315174008663372e-06,2.111611401175622e-07
9,0.2025657447753185,3.2897545237019736e-08,14557899326.681507,24754891.872316945,3.9122759652044425e-23,4.643803086258185e-16,5.665432687496866e-07,3.3643781304348537e-07
4,0.2043763398862531,3.6022702263586775e-08,19707596100.08375,23959860.53564484,6.125675611675202e-23,4.557542779119819e-16,1.105283455477979e-06,3.550210691561063e-07
5,0.2064286353556398,5.6613726460562854e-08,22263255537.37906,31209129.565864675,6.275343060145027e-23,2.34648883158235e-16,1.3885911520519185e-06,2.1197335509224361e-07
18,0.2069745909028704,1.0113514689045119e-07,23769432825.423725,39650772.74255256,1.259239845572687e-22,1.798210260876866e-16,1.0282590429059177e-06,1.7258652025767358e-07
17,0.2105625861760206,8.352312976623346e-08,27631526561.61306,40768650.29697305,1.5354242169027217e-22,1.0543742735998635e-16,7.132392445981154e-07,1.810493574653744e-07
1,0.2142760397630362,2.6631973482016084e-08,66466260267.07645,31955222.72503215,2.129101683260886e-22,1.8035046895111563e-16,1.257447198160875e-06,2.654387063720572e-07
